EmployeeIndex,ActualAttrition,AttritionRisk,PredictedClass,RiskTier
1119,1,0.9245,1,High
261,0,0.9054,1,High
143,1,0.895,1,High
462,0,0.8942,1,High
789,0,0.8929,1,High
955,0,0.8857,1,High
1102,0,0.8813,1,High
735,0,0.8804,1,High
213,0,0.8611,1,High
958,0,0.8593,1,High
67,0,0.8484,1,High
1090,0,0.8451,1,High
366,0,0.8397,1,High
69,0,0.8379,1,High
430,0,0.8287,1,High
175,0,0.8262,1,High
919,1,0.8254,1,High
780,0,0.8251,1,High
416,0,0.815,1,High
387,1,0.8148,1,High
22,0,0.8059,1,High
371,1,0.8037,1,High
103,0,0.7996,1,High
1027,0,0.7965,1,High
1056,1,0.7957,1,High
302,0,0.794,1,High
471,0,0.79,1,High
618,0,0.7884,1,High
73,0,0.7863,1,High
877,0,0.7838,1,High
141,0,0.78,1,High
655,0,0.7715,1,High
257,1,0.7695,1,High
15,0,0.7689,1,High
606,0,0.7655,1,High
295,0,0.7654,1,High
809,0,0.7653,1,High
170,1,0.7615,1,High
994,0,0.7573,1,High
116,0,0.7569,1,High
612,1,0.7528,1,High
900,0,0.7518,1,High
509,0,0.7502,1,High
600,0,0.7494,1,High
146,0,0.7472,1,High
917,0,0.7469,1,High
532,0,0.7457,1,High
713,0,0.7454,1,High
622,0,0.7454,1,High
246,0,0.7451,1,High
771,0,0.7443,1,High
12,0,0.7443,1,High
35,0,0.7411,1,High
899,0,0.7407,1,High
278,0,0.7398,1,High
441,0,0.7397,1,High
338,0,0.739,1,High
476,0,0.7314,1,High
17,0,0.7312,1,High
869,0,0.7303,1,High
671,0,0.7273,1,High
677,1,0.7267,1,High
494,0,0.7265,1,High
428,0,0.7246,1,High
1004,1,0.7227,1,High
105,0,0.7225,1,High
525,0,0.7178,1,High
219,0,0.716,1,High
87,0,0.7153,1,High
446,0,0.7141,1,High
929,0,0.7135,1,High
752,1,0.7126,1,High
590,0,0.7118,1,High
692,1,0.71,1,High
861,0,0.7096,1,High
1045,1,0.7087,1,High
490,0,0.7075,1,High
322,0,0.7072,1,High
852,0,0.7014,1,High
336,0,0.701,1,High
111,1,0.7009,1,High
118,0,0.7006,1,High
24,1,0.6995,1,High
915,0,0.6993,1,High
1132,0,0.6972,1,High
460,0,0.6874,1,High
242,0,0.6842,1,High
517,0,0.6832,1,High
1039,0,0.6832,1,High
882,1,0.6829,1,High
1008,0,0.6807,1,High
824,0,0.6807,1,High
1054,1,0.6804,1,High
171,1,0.6792,1,High
