Age,Attrition,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Sales,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,8,Yes,3,1,0,1,6,4,0
49,No,Research & Development,8,2,3,Male,61,2,2,Research Scientist,2,Married,5130,1,No,4,4,3,3,10,7,1
37,Yes,Research & Development,2,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,6,Yes,3,2,3,3,0,0,0
33,No,Research & Development,3,5,4,Female,56,3,1,Research Scientist,3,Married,2909,1,Yes,3,3,3,3,8,7,3
27,No,Research & Development,2,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,9,No,3,4,3,3,2,2,2
32,No,Research & Development,2,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,0,No,3,3,2,2,7,7,3
59,No,Research & Development,3,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,4,Yes,4,1,3,2,1,0,0
30,No,Research & Development,24,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,1,No,4,2,2,3,1,0,0
38,No,Research & Development,23,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,0,No,4,2,2,3,9,7,1
36,No,Research & Development,27,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,6,No,3,2,3,2,7,7,7
35,No,Research & Development,16,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,0,No,3,3,5,3,5,4,0
29,No,Research & Development,15,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,0,Yes,3,4,3,3,9,5,0
31,No,Research & Development,26,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,1,No,3,4,1,2,5,2,4
34,No,Research & Development,19,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,0,No,3,3,2,3,2,2,1
28,Yes,Research & Development,24,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,5,Yes,3,2,4,3,4,2,0
29,No,Research & Development,21,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,1,No,3,3,1,3,10,9,8
32,No,Research & Development,5,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,0,Yes,3,4,5,2,6,2,0
22,No,Research & Development,16,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,3,2,2,2,1,0,0
53,No,Sales,2,23,1,Female,78,2,4,Manager,4,Married,15427,2,No,3,3,3,3,25,8,3
38,No,Research & Development,2,24,4,Male,45,3,1,Research Scientist,4,Single,3944,5,Yes,3,3,3,3,3,2,1
24,No,Research & Development,11,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,0,No,3,4,5,2,4,2,1
36,Yes,Sales,9,27,3,Male,82,2,1,Sales Representative,1,Single,3407,7,No,4,2,4,3,5,3,0
34,No,Research & Development,7,28,1,Female,53,3,3,Research Director,2,Single,11994,0,No,3,3,4,3,12,6,2
21,No,Research & Development,15,30,3,Male,96,3,1,Research Scientist,4,Single,1232,1,No,3,4,6,3,0,0,0
34,Yes,Research & Development,6,31,2,Male,83,3,1,Research Scientist,1,Single,2960,2,No,3,3,2,3,4,2,1
53,No,Research & Development,5,32,3,Female,58,3,5,Manager,3,Divorced,19094,4,No,3,4,3,2,14,13,4
32,Yes,Research & Development,16,33,2,Female,72,1,1,Research Scientist,1,Single,3919,1,Yes,4,2,5,3,10,2,6
42,No,Sales,8,35,3,Male,48,3,2,Sales Executive,2,Married,6825,0,No,3,4,2,3,9,7,4
44,No,Research & Development,7,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,3,No,3,4,4,3,22,6,5
46,No,Sales,2,38,2,Female,83,3,5,Manager,1,Single,18947,3,No,3,4,2,2,2,2,2
33,No,Research & Development,2,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,4,No,3,4,3,3,1,1,0
44,No,Research & Development,10,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,2,Yes,3,4,5,4,4,2,1
30,No,Research & Development,9,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,1,No,3,1,5,3,10,0,1
39,Yes,Sales,5,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3,No,3,3,6,4,1,0,0
24,Yes,Research & Development,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,2,Yes,3,1,2,2,2,0,2
43,No,Research & Development,2,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,1,No,3,4,3,2,5,3,1
50,Yes,Sales,3,47,1,Male,86,2,1,Sales Representative,3,Married,2683,1,Yes,3,3,2,3,3,2,0
35,No,Sales,2,49,4,Female,97,3,1,Sales Representative,4,Married,2014,1,No,3,1,3,3,2,2,2
36,No,Research & Development,5,51,2,Female,82,2,1,Research Scientist,1,Married,3419,9,Yes,3,4,3,4,1,1,0
33,No,Sales,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,2,No,3,1,3,3,5,3,1
35,No,Research & Development,4,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,1,No,3,3,3,3,1,0,0
27,No,Research & Development,2,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,1,No,3,4,6,3,1,0,0
26,Yes,Research & Development,25,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,1,No,3,3,2,2,1,0,0
27,No,Sales,8,56,4,Male,37,3,3,Sales Executive,3,Single,8726,1,No,3,4,0,3,9,8,1
30,No,Research & Development,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,1,No,4,4,2,3,12,8,3
41,Yes,Research & Development,12,58,2,Female,49,3,5,Research Director,3,Married,19545,1,No,3,4,0,3,22,15,15
34,No,Sales,23,60,2,Male,72,3,2,Sales Executive,3,Single,4568,0,No,4,3,2,3,9,5,8
37,No,Research & Development,19,61,2,Male,73,3,1,Research Scientist,2,Married,3022,4,No,4,1,1,3,1,0,0
46,No,Sales,5,62,1,Male,98,3,2,Sales Executive,4,Single,5772,4,Yes,4,3,4,3,9,6,0
35,No,Research & Development,8,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,1,No,3,4,2,3,1,0,0
48,Yes,Research & Development,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,9,Yes,3,4,2,3,1,0,0
28,Yes,Research & Development,5,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,1,Yes,3,3,3,2,2,2,2
44,No,Sales,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,5,Yes,4,3,2,2,4,3,1
35,No,Research & Development,11,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,2,Yes,3,3,3,3,4,0,2
26,No,Sales,23,72,3,Female,47,2,2,Sales Executive,4,Married,4157,7,Yes,3,3,2,2,2,2,0
33,No,Research & Development,1,73,1,Female,98,3,3,Research Director,4,Single,13458,1,Yes,3,3,1,3,15,14,8
35,No,Sales,18,74,2,Male,71,3,3,Sales Executive,1,Married,9069,1,No,4,4,3,2,9,8,1
35,No,Research & Development,23,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,3,Yes,3,3,3,3,2,2,2
31,No,Research & Development,7,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,3,No,4,4,3,2,7,7,1
37,No,Research & Development,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,1,No,3,3,2,4,7,5,0
32,No,Research & Development,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,1,Yes,4,2,3,3,9,8,7
38,No,Research & Development,29,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,1,No,3,4,2,3,10,3,9
50,No,Research & Development,7,80,2,Female,43,2,5,Research Director,3,Divorced,18740,5,Yes,3,4,2,2,27,3,13
59,No,Sales,25,81,1,Female,99,3,3,Sales Executive,1,Single,7637,7,No,3,4,3,2,21,16,7
36,No,Research & Development,8,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,1,No,3,2,2,3,17,14,12
55,No,Research & Development,8,84,4,Female,33,3,4,Manager,3,Divorced,14756,2,Yes,3,3,2,3,5,0,0
36,No,Research & Development,11,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,1,No,3,3,3,3,6,5,0
45,No,Research & Development,7,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,2,No,3,3,2,3,1,0,0
35,No,Research & Development,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,4,No,3,4,2,2,3,2,1
36,Yes,Research & Development,9,90,4,Male,79,2,1,Research Scientist,3,Married,3388,0,Yes,3,1,0,2,1,0,0
59,No,Sales,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,7,No,3,4,2,2,4,3,1
29,No,Research & Development,2,94,3,Male,76,3,1,Research Scientist,2,Married,2703,0,No,4,4,3,3,5,4,0
