Age,Attrition,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,external_avg_salary,external_job_demand,salary_gap,NoRecentPromotion,StagnationScore,SatisfactionIndex,Department_HR,Department_Human Resources,Department_IT,Department_Marketing,Department_Research & Development,Department_Sales,Gender_Male,JobRole_Assistant,JobRole_Executive,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,JobRoleMapped_Laboratory Technician,JobRoleMapped_Manager,JobRoleMapped_Other,JobRoleMapped_Research Scientist,JobRoleMapped_Sales Executive,IncomeCategory_Medium,IncomeCategory_High,TenureCategory_3-5 years,TenureCategory_6-10 years,TenureCategory_10+ years,AgeGroup_26-35,AgeGroup_36-45,AgeGroup_46-55,AgeGroup_55+
41,1,1,2,94,3,2,4,5993,8,3,1,0,1,6,4,0,91683.75438596492,139,85690.75438596492,0,4,2.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
49,0,8,3,61,2,2,2,5130,1,4,4,3,3,10,7,1,89817.88593023256,119,84687.88593023256,0,8,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
37,1,2,4,92,2,1,3,2090,6,3,2,3,3,0,0,0,17372.83423076923,33,15282.83423076923,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33,0,3,4,56,3,1,3,2909,1,3,3,3,3,8,7,3,89817.88593023256,119,86908.88593023256,1,10,3.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
27,0,2,1,40,3,1,2,3468,9,3,4,3,3,2,2,2,17372.83423076923,33,13904.83423076923,0,4,2.33,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32,0,2,4,79,3,1,4,3068,0,3,3,2,2,7,7,3,17372.83423076923,33,14304.83423076923,1,10,3.67,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
59,0,3,3,81,4,1,1,2670,4,4,1,3,2,1,0,0,17372.83423076923,33,14702.83423076923,0,0,1.67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
30,0,24,4,67,3,1,3,2693,1,4,2,2,3,1,0,0,17372.83423076923,33,14679.83423076923,0,0,3.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38,0,23,4,44,2,3,3,9526,0,4,2,2,3,9,7,1,69047.72894688007,12784,59521.72894688007,0,8,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
36,0,27,3,94,3,2,3,5237,6,3,2,3,2,7,7,7,69047.72894688007,12784,63810.72894688007,1,14,2.67,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
35,0,16,1,84,4,1,2,2426,0,3,3,5,3,5,4,0,17372.83423076923,33,14946.83423076923,0,4,2.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
29,0,15,4,49,2,2,3,4193,0,3,4,3,3,9,5,0,17372.83423076923,33,13179.83423076923,0,5,3.67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
31,0,26,1,31,3,1,3,2911,1,3,4,1,2,5,2,4,89817.88593023256,119,86906.88593023256,1,6,2.67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
34,0,19,2,93,3,1,4,2661,0,3,3,2,3,2,2,1,17372.83423076923,33,14711.83423076923,0,3,3.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
28,1,24,3,50,2,1,3,2028,5,3,2,4,3,4,2,0,17372.83423076923,33,15344.83423076923,0,2,2.67,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
29,0,21,2,51,4,3,1,9980,1,3,3,1,3,10,9,8,69047.72894688007,12784,59067.72894688007,1,17,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
32,0,5,1,80,4,1,2,3298,0,3,4,5,2,6,2,0,89817.88593023256,119,86519.88593023256,0,2,2.33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
22,0,16,4,96,4,1,4,2935,1,3,2,2,2,1,0,0,17372.83423076923,33,14437.83423076923,0,0,3.33,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,2,1,78,2,4,4,15427,2,3,3,3,3,25,8,3,102997.714045,2542,87570.714045,1,11,2.67,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
38,0,2,4,45,3,1,4,3944,5,3,3,3,3,3,2,1,89817.88593023256,119,85873.88593023256,0,3,3.67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
24,0,11,1,96,4,2,3,4011,0,3,4,5,2,4,2,1,69047.72894688007,12784,65036.72894688007,0,3,2.67,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
36,1,9,3,82,2,1,1,3407,7,4,2,4,3,5,3,0,69047.72894688007,12784,65640.72894688007,0,3,2.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
34,0,7,1,53,3,3,2,11994,0,3,3,4,3,12,6,2,69047.72894688007,12784,57053.72894688007,0,8,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
21,0,15,3,96,3,1,4,1232,1,3,4,6,3,0,0,0,89817.88593023256,119,88585.88593023256,0,0,3.67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,1,6,2,83,3,1,1,2960,2,3,3,2,3,4,2,1,89817.88593023256,119,86857.88593023256,0,3,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
53,0,5,3,58,3,5,3,19094,4,3,4,3,2,14,13,4,102997.714045,2542,83903.714045,1,17,3.33,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
32,1,16,2,72,1,1,1,3919,1,4,2,5,3,10,2,6,89817.88593023256,119,85898.88593023256,1,8,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
42,0,8,3,48,3,2,2,6825,0,3,4,2,3,9,7,4,91683.75438596492,139,84858.75438596492,1,11,3.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
44,0,7,1,42,2,3,4,10248,3,3,4,4,3,22,6,5,69047.72894688007,12784,58799.72894688007,1,11,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
46,0,2,2,83,3,5,1,18947,3,3,4,2,2,2,2,2,102997.714045,2542,84050.714045,0,4,2.33,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
33,0,2,3,78,3,1,4,2496,4,3,4,3,3,1,1,0,17372.83423076923,33,14876.83423076923,0,1,3.67,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
44,0,10,4,41,3,2,4,6465,2,3,4,5,4,4,2,1,69047.72894688007,12784,62582.72894688007,0,3,4.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
30,0,9,4,83,2,1,3,2206,1,3,1,5,3,10,0,1,17372.83423076923,33,15166.83423076923,0,1,2.67,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
39,1,5,4,56,3,2,4,2086,3,3,3,6,4,1,0,0,69047.72894688007,12784,66961.72894688007,0,0,3.67,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24,1,1,2,61,3,1,4,2293,2,3,1,2,2,2,0,2,89817.88593023256,119,87524.88593023256,0,2,2.33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,0,2,4,72,4,1,3,2645,1,3,4,3,2,5,3,1,89817.88593023256,119,87172.88593023256,0,4,3.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
50,1,3,1,86,2,1,3,2683,1,3,3,2,3,3,2,0,69047.72894688007,12784,66364.72894688007,0,2,2.33,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
35,0,2,4,97,3,1,4,2014,1,3,1,3,3,2,2,2,69047.72894688007,12784,67033.72894688007,0,4,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
36,0,5,2,82,2,1,1,3419,9,3,4,3,4,1,1,0,89817.88593023256,119,86398.88593023256,0,1,2.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33,0,1,3,42,4,2,1,5376,2,3,1,3,3,5,3,1,91683.75438596492,139,86307.75438596492,0,4,1.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
35,0,4,3,75,3,1,4,1951,1,3,3,3,3,1,0,0,17372.83423076923,33,15421.83423076923,0,0,3.33,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
27,0,2,4,33,3,1,1,2341,1,3,4,6,3,1,0,0,17372.83423076923,33,15031.83423076923,0,0,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26,1,25,1,48,1,1,3,2293,1,3,3,2,2,1,0,0,17372.83423076923,33,15079.83423076923,0,0,2.33,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
27,0,8,4,37,3,3,3,8726,1,3,4,0,3,9,8,1,91683.75438596492,139,82957.75438596492,0,9,3.67,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
30,0,1,3,58,3,2,4,4011,1,4,4,2,3,12,8,3,17372.83423076923,33,13361.83423076923,1,11,3.67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
41,1,12,2,49,3,5,3,19545,1,3,4,0,3,22,15,15,69047.72894688007,12784,49502.72894688007,1,30,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
34,0,23,2,72,3,2,3,4568,0,4,3,2,3,9,5,8,91683.75438596492,139,87115.75438596492,1,13,2.67,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
37,0,19,2,73,3,1,2,3022,4,4,1,1,3,1,0,0,89817.88593023256,119,86795.88593023256,0,0,1.67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
46,0,5,1,98,3,2,4,5772,4,4,3,4,3,9,6,0,91683.75438596492,139,85911.75438596492,0,6,2.67,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
35,0,8,4,36,4,1,4,2269,1,3,4,2,3,1,0,0,17372.83423076923,33,15103.83423076923,0,0,4.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
48,1,1,1,98,2,3,3,5381,9,3,4,2,3,1,0,0,17372.83423076923,33,11991.83423076923,0,0,2.67,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,1,5,3,50,3,1,3,3441,1,3,3,3,2,2,2,2,17372.83423076923,33,13931.83423076923,0,4,3.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
44,0,1,2,75,3,2,1,5454,5,4,3,2,2,4,3,1,91683.75438596492,139,86229.75438596492,0,4,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
