Age,DistanceFromHome,JobInvolvement,JobLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,MonthlyIncome,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NoRecentPromotion,StagnationScore,SatisfactionIndex,external_avg_salary,external_job_demand,salary_gap,OverTime_Yes,MaritalStatus_Single,MaritalStatus_Married,IncomeCategory_Medium,IncomeCategory_High,TenureCategory_3-5 years,TenureCategory_6-10 years,TenureCategory_10+ years,Attrition
54,16,1,3,3,3,3,4,12480,4,7,5,9,1,14,3.0,69047.72894688007,12784,56567.72894688007,0,0,0,1,0,0,1,0,1
20,21,3,3,2,1,3,3,15402,1,24,4,0,0,4,2.0,69047.72894688007,12784,53645.72894688007,0,1,0,0,1,0,0,1,1
30,8,2,1,4,3,3,2,2180,6,4,2,1,0,3,3.33,61845.10984536083,269,59665.10984536083,0,0,0,0,0,1,0,0,1
33,7,3,2,1,4,1,3,4373,0,4,3,0,0,3,2.0,91683.75438596492,139,87310.75438596492,0,0,1,0,0,1,0,0,0
40,11,3,2,1,1,1,4,12441,4,22,1,4,1,5,1.0,102997.714045,2542,90556.714045,0,1,0,1,0,0,0,1,0
43,16,3,4,5,1,3,1,5907,3,19,13,2,0,15,3.0,102997.714045,2542,97090.714045,0,0,0,0,0,0,0,1,1
49,28,3,4,4,4,2,1,14821,2,29,5,0,0,5,3.33,69047.72894688007,12784,54226.72894688007,0,0,1,0,1,0,0,1,0
55,2,2,3,5,2,2,1,14152,2,17,6,7,1,13,3.0,69047.72894688007,12784,54895.72894688007,0,0,0,0,1,0,0,1,0
54,31,2,2,3,1,3,4,10474,3,23,1,0,0,1,2.33,69047.72894688007,12784,58573.72894688007,0,0,0,1,0,0,0,1,0
21,1,4,3,5,1,2,4,8937,4,10,1,3,1,4,2.67,102997.714045,2542,94060.714045,0,0,1,1,0,0,1,0,0
42,21,3,2,3,3,2,3,5265,2,5,3,0,0,3,2.67,69047.72894688007,12784,63782.72894688007,0,0,0,0,0,1,0,0,0
47,39,2,4,1,2,4,2,12196,2,4,12,0,0,12,2.33,102997.714045,2542,90801.714045,0,1,0,1,0,1,0,0,0
21,1,1,5,2,2,3,3,14299,1,28,11,8,1,19,2.33,102997.714045,2542,88698.714045,0,1,0,0,1,0,0,1,0
42,3,4,1,4,2,1,2,14506,2,16,8,0,0,8,2.33,69047.72894688007,12784,54541.72894688007,1,0,1,0,1,0,0,1,0
55,38,1,2,3,3,4,3,12031,3,23,4,7,1,11,3.33,69047.72894688007,12784,57016.72894688007,1,1,0,1,0,0,0,1,0
39,14,3,3,1,4,2,2,3232,2,10,1,3,1,4,2.33,69047.72894688007,12784,65815.72894688007,0,0,1,0,0,0,1,0,0
40,48,3,5,4,1,3,1,11491,1,14,10,1,0,11,2.67,69047.72894688007,12784,57556.72894688007,0,0,1,1,0,0,0,1,1
54,35,2,1,4,2,2,1,16659,1,18,11,3,1,14,2.67,102997.714045,2542,86338.714045,0,0,1,0,1,0,0,1,1
32,37,2,1,1,2,1,3,8515,4,1,4,3,1,7,1.33,69047.72894688007,12784,60532.72894688007,1,0,0,1,0,0,0,0,0
55,26,1,3,1,4,4,3,7354,3,11,1,7,1,8,3.0,102997.714045,2542,95643.714045,1,0,1,0,0,0,0,1,0
